apertura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.1085	-7.04956	-3.02124	-4.22974	2.5177	8.35876
0.109	-2.01416	-2.92053	-1.3092	-5.74036	5.0354
0.1095	2.31628	-2.11487	-3.8269	-5.63965	3.62549
0.11	-7.25098	-4.63257	-0.50354	-2.5177	3.52478
0.1105	-1.81274	-0.10071	0.30212	2.11487	4.93469
0.111	-5.94177	-6.74744	8.45947	2.11487	8.66089
0.1115	-11.2793	-7.35168	0.20142	-3.62549	7.25098
0.112	-1.91345	-1.40991	0.50354	8.15735	3.52478
0.1125	-7.75452	-6.74744	0.50354	8.05664	-0.10071
0.113	-11.17859	-4.53186	-2.01416	-3.52478	-0.30212
0.1135	-9.36584	-7.15027	3.62549	-3.8269	5.43823
0.114	-11.48071	-10.27222	6.94885	-0.90637	2.71912
0.1145	-8.35876	-6.54602	3.92761	-6.44531	0.10071
0.115	-10.37292	-1.81274	-0.10071	0.10071	3.22266
0.1155	-6.74744	3.42407	6.74744	-2.71912	3.92761
0.116	-13.19275	3.22266	0.50354	-3.32336	1.91345
0.1165	-5.84106	3.22266	1.10779	-4.33044	-1.91345
0.117	-3.52478	5.0354	3.32336	-6.84814	-7.35168
0.1175	-4.43115	-1.2085	0.20142	-9.97009	-5.84106
0.118	-6.64673	-0.90637	-3.92761	-7.85522	-3.02124
0.1185	-5.74036	-2.31628	-1.71204	-7.04956	-4.73328
0.119	-8.8623	2.01416	2.71912	-1.91345	-1.51062
0.1195	-6.2439	-1.81274	-2.61841	-2.21558	-0.70496
0.12	-3.32336	4.53186	-3.12195	-4.73328	-2.11487
0.1205	-4.02832	-3.7262	-2.81982	-3.7262	-8.66089
0.121	-4.73328	-1.2085	-0.90637	0.20142	-2.01416
0.1215	-1.3092	-4.33044	-3.52478	3.32336	-3.32336
0.122	-1.91345	2.81982	-0.30212	2.92053	-0.40283
0.1225	-5.13611	-4.12903	-2.5177	2.5177	-2.31628
0.123	-3.02124	-5.13611	-10.27222	0.20142	2.92053
0.1235	-0.70496	-0.90637	-3.92761	0.90637	-1.51062
0.124	-6.3446	-7.35168	0.20142	-7.65381	6.14319
0.1245	-2.21558	-2.71912	-3.62549	-2.71912	-7.35168
0.125	-5.43823	-8.66089	-3.62549	1.51062	-0.10071
0.1255	-2.81982	-14.40125	-0.10071	2.41699	-0.20142
0.126	1.00708	-13.89771	-1.71204	-1.3092	2.31628
0.1265	0.50354	-12.38708	-5.13611	1.3092	-0.90637
0.127	0.30212	-10.77576	-7.45239	1.61133	-4.93469
0.1275	3.32336	-4.83398	-5.94177	-2.71912	-1.3092
0.128	-0.60425	-5.74036	-2.71912	-1.51062	5.74036
0.1285	-2.21558	-7.65381	-1.40991	3.7262	0.70496
