chiusura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.069	6.64673	4.53186	-3.22266	-4.73328	-8.7616
0.0695	-4.22974	3.32336	-5.33752	-12.99133	-8.96301
0.07	-5.84106	3.42407	-1.10779	-0.10071	-4.22974
0.0705	2.31628	5.53894	1.40991	-7.85522	5.33752
0.071	3.22266	-1.51062	-0.70496	-11.48071	-1.61133
0.0715	3.92761	-1.71204	-4.43115	-9.76868	-1.71204
0.072	6.64673	2.71912	-0.90637	-12.18567	-2.5177
0.0725	8.7616	-2.41699	-1.91345	-10.77576	-3.52478
0.073	6.2439	0.50354	1.91345	-9.46655	-5.53894
0.0735	2.11487	-5.63965	-1.81274	-5.84106	-5.74036
0.074	-0.60425	-6.94885	10.97717	-2.31628	-7.75452
0.0745	2.71912	-5.63965	2.11487	-3.12195	-2.5177
0.075	2.5177	-3.62549	2.31628	-2.5177	-4.12903
0.0755	6.44531	-6.74744	-1.40991	2.31628	-1.51062
0.076	4.33044	-1.91345	0.10071	-1.71204	-0.60425
0.0765	4.22974	-4.33044	-2.41699	5.23682	-7.45239
0.077	0	-5.23682	5.33752	2.92053	-1.91345
0.0775	-3.52478	4.02832	1.91345	1.91345	-4.02832
0.078	-1.51062	5.94177	4.43115	0.30212	-6.74744
0.0785	-2.92053	4.22974	4.43115	3.22266	-9.56726
0.079	-0.60425	0.20142	-0.10071	2.5177	-7.95593
0.0795	-0.50354	-0.50354	-2.31628	3.62549	-5.74036
0.08	1.10779	2.81982	-5.33752	7.04956	-9.56726
0.0805	-6.54602	-3.02124	1.71204	2.31628	-3.7262
0.081	-8.35876	0.20142	1.00708	-1.10779	-3.7262
0.0815	-3.7262	-1.00708	-2.92053	7.04956	-9.16443
0.082	0.50354	-8.56018	-0.60425	15.20691	-25.27771
0.0825	-4.63257	-3.8269	-5.94177	22.6593	-34.94568
0.083	-5.0354	0	-4.93469	30.51453	-47.23206
0.0835	-8.15735	-4.02832	-0.40283	31.72302	-46.42639
0.084	-6.3446	2.01416	-0.10071	31.52161	-50.2533
0.0845	-9.86938	-6.74744	0.80566	27.19116	-43.00232
0.085	-11.07788	2.31628	0.20142	23.46497	-42.59949
0.0855	-9.36584	3.32336	2.31628	30.31311	-45.41931
0.086	-6.14319	1.81274	-8.8623	22.05505	-37.06055
0.0865	-10.67505	5.0354	1.3092	21.24939	-30.51453
0.087	-7.04956	4.63257	-1.71204	12.28638	-26.88904
0.0875	-3.12195	-2.5177	-0.20142	4.33044	-13.99841
0.088	0.40283	2.5177	4.93469	-9.76868	15.81116
0.0885	-0.90637	3.42407	-2.31628	-30.51453	61.33118
0.089	-0.40283	-5.74036	-7.45239	-46.02356	87.91809
0.0895	6.2439	-4.33044	-6.3446	-57.40356	84.79614
0.09	0.50354	-5.23682	-8.56018	-45.62073	57.8064
0.0905	7.75452	0.10071	-4.93469	-35.14709	35.95276
0.091	5.43823	6.54602	-4.63257	-29.60815	25.68054
0.0915	8.96301	-0.10071	-6.84814	-23.36426	21.65222
0.092	0.90637	0.50354	-3.22266	-24.47205	26.28479
0.0925	0.10071	1.61133	-3.52478	-21.24939	18.53027
0.093	0.60425	4.53186	-1.3092	-22.6593	15.40833
0.0935	6.2439	-6.14319	-1.2085	-12.18567	19.33594
0.094	-2.11487	-1.81274	-4.02832	-18.63098	11.88354
0.0945	-2.81982	-2.71912	-5.13611	-13.39417	21.04797
0.095	-5.33752	-3.02124	-3.02124	-14.19983	18.22815
0.0955	-2.11487	2.31628	0.20142	-4.53186	11.68213
0.096	-9.46655	-5.13611	-6.14319	-9.26514	4.22974
0.0965	-0.70496	-11.48071	-6.84814	-6.64673	-2.21558
0.097	-2.92053	-1.2085	-4.33044	2.31628	7.15027
0.0975	-7.35168	-5.74036	-1.71204	5.53894	2.81982
0.098	-14.40125	-7.15027	-0.60425	-2.5177	9.16443
0.0985	-14.60266	-5.33752	0	-0.70496	8.7616
0.099	-1.51062	-2.31628	-3.42407	1.51062	3.42407
0.0995	-1.71204	4.93469	-1.91345	6.2439	-3.52478
0.1	-8.56018	1.71204	1.3092	3.92761	-8.45947
0.1005	-7.65381	-1.81274	-2.01416	7.04956	-17.52319
0.101	-6.14319	1.81274	0.30212	9.86938	-23.8678
0.1015	-4.33044	-6.74744	-2.61841	14.80408	-26.08337
0.102	-0.90637	-2.71912	-3.02124	14.70337	-25.177
0.1025	-6.3446	3.8269	1.81274	16.51611	-25.98267
0.103	0	-2.41699	3.8269	12.18567	-23.06213
0.1035	0.20142	-3.12195	3.12195	12.68921	-24.16992
0.104	6.2439	-3.52478	1.81274	8.56018	-22.25647
0.1045	-3.12195	-4.63257	-2.5177	7.95593	-25.177
0.105	-3.52478	-2.81982	-1.40991	8.05664	-22.15576
0.1055	-4.33044	-3.02124	-0.10071	4.53186	-10.37292
0.106	-2.92053	-0.10071	-3.32336	-2.01416	-4.22974
0.1065	3.22266	-9.76868	-8.25806	-13.39417	7.04956
0.107	2.61841	-5.33752	-5.13611	-19.83948	17.52319
0.1075	0.20142	-7.65381	-0.30212	-28.9032	19.53735
0.108	-2.71912	0.20142	-0.90637	-25.98267	16.41541
0.1085	-4.83398	-9.97009	1.2085	-25.68054	9.66797
0.109	-7.04956	-7.04956	-2.31628	-14.40125	1.10779
